filename,xmin,ymin,xmax,ymax
1_crop_1.jpg,113,69,150,118
1_crop_3.jpg,240,278,277,327
1_crop_4.jpg,408,187,445,236
11_crop_2.jpg,122,291,144,318
11_crop_3.jpg,80,483,102,510
11_crop_4.jpg,285,214,307,241
12_crop_0.jpg,82,274,114,320
12_crop_1.jpg,159,276,191,322
12_crop_2.jpg,288,42,320,88
12_crop_4.jpg,86,410,118,456
13_crop_0.jpg,322,209,332,223
13_crop_1.jpg,389,172,399,186
13_crop_2.jpg,164,80,174,94
13_crop_3.jpg,318,202,328,216
13_crop_4.jpg,222,1,232,15
14_crop_1.jpg,21,264,61,305
14_crop_2.jpg,99,88,139,129
14_crop_3.jpg,197,137,237,178
14_crop_4.jpg,129,424,169,465
15_crop_0.jpg,63,402,77,419
15_crop_1.jpg,297,110,311,127
15_crop_2.jpg,133,11,147,28
15_crop_3.jpg,297,32,311,49
15_crop_4.jpg,297,197,311,214
17_crop_0.jpg,109,250,130,281
17_crop_1.jpg,340,250,361,281
17_crop_3.jpg,275,98,296,129
17_crop_4.jpg,160,151,181,182
18_crop_0.jpg,181,75,212,111
18_crop_2.jpg,380,75,411,111
18_crop_3.jpg,181,75,212,111
18_crop_4.jpg,181,75,212,111
19_crop_0.jpg,308,271,321,288
19_crop_1.jpg,16,271,29,288
19_crop_2.jpg,88,271,101,288
19_crop_3.jpg,338,271,351,288
19_crop_4.jpg,43,484,56,501
2_crop_0.jpg,82,331,107,364
2_crop_1.jpg,82,419,107,452
2_crop_2.jpg,82,479,107,512
2_crop_3.jpg,82,427,107,460
2_crop_4.jpg,82,87,107,120
3_crop_1.jpg,257,237,289,274
3_crop_2.jpg,400,323,432,360
3_crop_3.jpg,160,215,192,252
3_crop_4.jpg,441,341,473,378
4_crop_0.jpg,349,251,372,278
4_crop_1.jpg,340,233,363,260
4_crop_2.jpg,211,47,234,74
4_crop_3.jpg,183,4,206,31
4_crop_4.jpg,27,279,50,306
5_crop_1.jpg,117,161,148,201
5_crop_2.jpg,81,320,112,360
5_crop_3.jpg,248,401,279,441
5_crop_4.jpg,253,298,284,338
6_crop_0.jpg,179,408,218,452
6_crop_1.jpg,282,408,321,452
6_crop_2.jpg,179,363,218,407
6_crop_4.jpg,179,76,218,120
7_crop_0.jpg,287,51,322,99
7_crop_2.jpg,108,184,143,232
7_crop_3.jpg,76,452,111,500
7_crop_4.jpg,207,384,242,432
9_crop_0.jpg,231,464,261,498
9_crop_1.jpg,199,440,229,474
9_crop_2.jpg,231,296,261,330
9_crop_3.jpg,207,350,237,384
9_crop_4.jpg,86,296,116,330
20_crop_1.jpg,290,290,331,341
20_crop_2.jpg,41,337,82,388
20_crop_3.jpg,290,125,331,176
20_crop_4.jpg,290,157,331,208
21_crop_0.jpg,411,363,440,395
21_crop_1.jpg,69,363,98,395
21_crop_2.jpg,8,406,37,438
21_crop_3.jpg,113,363,142,395
