filename,xmin,ymin,xmax,ymax
1_crop_0.jpg,375,448,412,497
1_crop_1.jpg,251,392,288,441
1_crop_2.jpg,5,52,42,101
1_crop_3.jpg,29,124,66,173
1_crop_4.jpg,298,416,335,465
1_crop_6.jpg,113,69,150,118
1_crop_8.jpg,240,278,277,327
1_crop_9.jpg,408,187,445,236
1_crop_12.jpg,122,291,159,340
1_crop_14.jpg,285,64,322,113
1_crop_15.jpg,5,274,42,323
1_crop_16.jpg,159,276,196,325
1_crop_17.jpg,288,42,325,91
1_crop_19.jpg,86,410,123,459
1_crop_20.jpg,322,209,359,258
1_crop_21.jpg,389,172,426,221
1_crop_22.jpg,0,80,37,129
1_crop_23.jpg,318,202,355,251
1_crop_24.jpg,222,1,259,50
1_crop_26.jpg,21,264,58,313
1_crop_27.jpg,99,88,136,137
1_crop_28.jpg,335,137,372,186
1_crop_29.jpg,129,424,166,473
1_crop_30.jpg,63,402,100,451
1_crop_31.jpg,345,110,382,159
1_crop_32.jpg,133,11,170,60
1_crop_34.jpg,468,197,505,246
1_crop_35.jpg,109,338,146,387
1_crop_36.jpg,340,280,377,329
1_crop_38.jpg,275,98,312,147
1_crop_39.jpg,160,151,197,200
1_crop_40.jpg,42,237,79,286
1_crop_42.jpg,380,302,417,351
1_crop_43.jpg,76,455,113,504
1_crop_44.jpg,20,139,57,188
1_crop_45.jpg,308,89,345,138
1_crop_46.jpg,16,147,53,196
1_crop_47.jpg,88,158,125,207
1_crop_50.jpg,277,331,314,380
1_crop_51.jpg,327,419,364,468
1_crop_53.jpg,440,427,477,476
1_crop_56.jpg,257,237,294,286
1_crop_57.jpg,400,323,437,372
1_crop_58.jpg,160,215,197,264
1_crop_59.jpg,441,341,478,390
11_crop_0.jpg,349,251,371,278
11_crop_1.jpg,340,233,362,260
11_crop_2.jpg,211,214,233,241
11_crop_3.jpg,183,214,205,241
11_crop_4.jpg,27,396,49,423
11_crop_5.jpg,460,214,482,241
11_crop_6.jpg,117,214,139,241
11_crop_7.jpg,81,320,103,347
11_crop_8.jpg,248,401,270,428
11_crop_9.jpg,253,298,275,325
11_crop_12.jpg,106,363,128,390
11_crop_13.jpg,460,348,482,375
11_crop_14.jpg,56,214,78,241
11_crop_15.jpg,287,214,309,241
11_crop_16.jpg,284,481,306,508
11_crop_17.jpg,108,214,130,241
11_crop_18.jpg,76,452,98,479
11_crop_19.jpg,207,384,229,411
11_crop_20.jpg,295,464,317,491
11_crop_21.jpg,199,440,221,467
11_crop_22.jpg,434,214,456,241
11_crop_23.jpg,207,350,229,377
11_crop_24.jpg,86,254,108,281
11_crop_26.jpg,460,290,482,317
11_crop_27.jpg,41,337,63,364
11_crop_28.jpg,460,214,482,241
11_crop_29.jpg,307,214,329,241
11_crop_30.jpg,411,302,433,329
11_crop_31.jpg,69,314,91,341
11_crop_32.jpg,8,406,30,433
11_crop_33.jpg,113,214,135,241
11_crop_35.jpg,179,214,201,241
11_crop_37.jpg,352,307,374,334
11_crop_38.jpg,177,374,199,401
11_crop_39.jpg,165,214,187,241
11_crop_40.jpg,294,240,316,267
11_crop_41.jpg,414,214,436,241
11_crop_42.jpg,160,214,182,241
11_crop_43.jpg,272,446,294,473
11_crop_44.jpg,460,426,482,453
11_crop_45.jpg,376,339,398,366
11_crop_46.jpg,342,294,364,321
11_crop_47.jpg,238,214,260,241
11_crop_48.jpg,251,214,273,241
11_crop_49.jpg,166,214,188,241
11_crop_50.jpg,396,214,418,241
11_crop_51.jpg,272,214,294,241
11_crop_52.jpg,374,406,396,433
11_crop_53.jpg,184,472,206,499
11_crop_54.jpg,96,438,118,465
11_crop_55.jpg,123,362,145,389
11_crop_56.jpg,384,214,406,241
11_crop_57.jpg,395,214,417,241
11_crop_58.jpg,434,283,456,310
11_crop_59.jpg,429,239,451,266
12_crop_0.jpg,139,210,171,256
12_crop_1.jpg,395,44,427,90
12_crop_2.jpg,229,402,261,448
12_crop_3.jpg,466,210,498,256
12_crop_5.jpg,419,89,451,135
12_crop_7.jpg,320,267,352,313
12_crop_8.jpg,82,347,114,393
12_crop_9.jpg,394,51,426,97
12_crop_10.jpg,341,265,373,311
12_crop_11.jpg,350,407,382,453
12_crop_12.jpg,82,125,114,171
12_crop_13.jpg,211,253,243,299
12_crop_14.jpg,82,190,114,236
12_crop_15.jpg,410,300,442,346
12_crop_18.jpg,210,185,242,231
12_crop_19.jpg,82,112,114,158
12_crop_20.jpg,192,104,224,150
12_crop_21.jpg,448,447,480,493
12_crop_22.jpg,188,46,220,92
12_crop_23.jpg,398,256,430,302
12_crop_24.jpg,292,32,324,78
12_crop_25.jpg,148,247,180,293
12_crop_26.jpg,325,300,357,346
12_crop_27.jpg,198,309,230,355
12_crop_28.jpg,260,143,292,189
12_crop_29.jpg,429,225,461,271
12_crop_30.jpg,421,54,453,100
12_crop_31.jpg,420,165,452,211
12_crop_32.jpg,280,113,312,159
12_crop_34.jpg,177,321,209,367
12_crop_35.jpg,188,202,220,248
12_crop_36.jpg,261,170,293,216
12_crop_37.jpg,409,418,441,464
12_crop_38.jpg,262,287,294,333
12_crop_40.jpg,101,438,133,484
12_crop_41.jpg,238,440,270,486
12_crop_44.jpg,145,7,177,53
12_crop_45.jpg,82,355,114,401
12_crop_46.jpg,409,177,441,223
12_crop_47.jpg,434,335,466,381
12_crop_48.jpg,329,359,361,405
12_crop_49.jpg,368,185,400,231
12_crop_50.jpg,200,403,232,449
12_crop_51.jpg,212,383,244,429
12_crop_52.jpg,301,367,333,413
12_crop_53.jpg,480,189,512,235
12_crop_54.jpg,302,330,334,376
12_crop_55.jpg,206,69,238,115
12_crop_56.jpg,351,463,383,509
12_crop_57.jpg,259,254,291,300
12_crop_58.jpg,447,55,479,101
12_crop_59.jpg,82,256,114,302
13_crop_0.jpg,164,48,174,62
13_crop_1.jpg,501,107,511,121
13_crop_2.jpg,166,274,176,288
13_crop_3.jpg,248,15,258,29
13_crop_4.jpg,488,86,498,100
13_crop_5.jpg,493,274,503,288
13_crop_6.jpg,164,274,174,288
13_crop_7.jpg,384,274,394,288
13_crop_8.jpg,247,229,257,243
13_crop_9.jpg,164,102,174,116
13_crop_10.jpg,336,274,346,288
13_crop_11.jpg,273,15,283,29
13_crop_13.jpg,188,0,198,14
13_crop_14.jpg,164,274,174,288
13_crop_15.jpg,268,192,278,206
13_crop_16.jpg,164,22,174,36
13_crop_17.jpg,282,90,292,104
13_crop_18.jpg,167,231,177,245
13_crop_19.jpg,288,274,298,288
13_crop_20.jpg,439,135,449,149
13_crop_21.jpg,349,274,359,288
13_crop_22.jpg,193,207,203,221
13_crop_23.jpg,206,132,216,146
13_crop_24.jpg,343,37,353,51
13_crop_25.jpg,425,274,435,288
13_crop_26.jpg,164,274,174,288
13_crop_27.jpg,353,256,363,270
13_crop_28.jpg,164,274,174,288
13_crop_29.jpg,459,6,469,20
13_crop_30.jpg,164,156,174,170
13_crop_31.jpg,164,274,174,288
13_crop_32.jpg,471,274,481,288
13_crop_33.jpg,251,274,261,288
13_crop_34.jpg,239,274,249,288
13_crop_35.jpg,370,274,380,288
13_crop_36.jpg,164,266,174,280
13_crop_37.jpg,164,69,174,83
13_crop_38.jpg,164,274,174,288
13_crop_39.jpg,179,64,189,78
13_crop_40.jpg,383,13,393,27
13_crop_41.jpg,295,274,305,288
13_crop_42.jpg,164,94,174,108
13_crop_43.jpg,392,210,402,224
13_crop_44.jpg,228,258,238,272
13_crop_45.jpg,164,274,174,288
13_crop_46.jpg,318,63,328,77
13_crop_47.jpg,491,274,501,288
13_crop_48.jpg,264,246,274,260
13_crop_49.jpg,301,274,311,288
13_crop_50.jpg,221,274,231,288
13_crop_51.jpg,307,233,317,247
13_crop_52.jpg,194,256,204,270
13_crop_53.jpg,164,274,174,288
13_crop_54.jpg,164,10,174,24
13_crop_55.jpg,164,274,174,288
13_crop_56.jpg,299,120,309,134
13_crop_57.jpg,303,222,313,236
13_crop_58.jpg,402,274,412,288
13_crop_59.jpg,392,274,402,288
14_crop_0.jpg,197,373,237,414
14_crop_1.jpg,197,50,237,91
14_crop_2.jpg,130,194,170,235
14_crop_3.jpg,65,147,105,188
14_crop_5.jpg,197,60,237,101
14_crop_6.jpg,52,154,92,195
14_crop_7.jpg,197,104,237,145
14_crop_8.jpg,165,50,205,91
14_crop_9.jpg,197,126,237,167
14_crop_10.jpg,121,304,161,345
14_crop_11.jpg,197,228,237,269
14_crop_12.jpg,197,50,237,91
14_crop_13.jpg,94,200,134,241
14_crop_14.jpg,197,52,237,93
14_crop_15.jpg,197,144,237,185
14_crop_16.jpg,197,114,237,155
14_crop_17.jpg,76,98,116,139
14_crop_18.jpg,168,443,208,484
14_crop_19.jpg,8,259,48,300
14_crop_21.jpg,96,353,136,394
14_crop_22.jpg,106,236,146,277
14_crop_23.jpg,197,437,237,478
14_crop_24.jpg,197,155,237,196
14_crop_25.jpg,197,91,237,132
14_crop_26.jpg,197,357,237,398
14_crop_27.jpg,39,247,79,288
14_crop_28.jpg,16,339,56,380
14_crop_29.jpg,34,466,74,507
14_crop_30.jpg,197,412,237,453
14_crop_31.jpg,80,441,120,482
14_crop_32.jpg,149,444,189,485
14_crop_34.jpg,197,347,237,388
14_crop_35.jpg,197,101,237,142
14_crop_36.jpg,197,201,237,242
14_crop_37.jpg,197,300,237,341
14_crop_38.jpg,197,171,237,212
14_crop_39.jpg,197,442,237,483
14_crop_40.jpg,197,135,237,176
14_crop_41.jpg,33,462,73,503
14_crop_42.jpg,197,208,237,249
14_crop_43.jpg,197,148,237,189
14_crop_44.jpg,197,111,237,152
14_crop_45.jpg,103,336,143,377
14_crop_46.jpg,17,247,57,288
14_crop_47.jpg,175,285,215,326
14_crop_48.jpg,197,262,237,303
14_crop_49.jpg,197,100,237,141
14_crop_50.jpg,188,70,228,111
14_crop_51.jpg,197,237,237,278
14_crop_52.jpg,197,438,237,479
